,is_primary_role,description
22,1,"We’re looking for Data Scientists to work on our core and business products at Oculus with a passion for virtual reality to help drive informed business decisions. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are scrappy, focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.
Responsibilities
* Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with our core/business products
* Partner with Product and Engineering teams to solve problems and identify trends and opportunities
* Inform, influence, support, and execute our product decisions and product launches.
* The Data Scientist Analytics role has work across the following four areas:
* Data Infrastructure
o Working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica
o Authoring pipelines via SQL and Python based ETL framework
o Building key data sets to empower operational and exploratory analysis
o Automating analyses
* Product Operations
o Setting goals
o Designing and evaluating experiments monitoring key product metrics, understanding root causes of changes in metrics
o Building and analyzing dashboards and reports
* Exploratory Analysis
o Proposing what to build in the next roadmap
o Understanding ecosystems, user behaviors, and long-term trends
o Identifying levers to help move key metrics
o Evaluating and defining metrics
o Building models of user behaviors for analysis or to power production systems
* Product Leadership
o Influencing product teams through presentation of work
o Communicating of state of business, experiment results, etc to product teams
o Spreading best practices to analytics and product teams
Minimum Qualification
* 4+ years experience doing quantitative analysis.
* BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field.
* Experience in SQL or other programming languages.
* Development experience in at least one scripting language (PHP, Python, Perl, etc.)
Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com or you may call us at +1 650-308-7837.
Seniority Level
Not Applicable
Industry
* Internet
Employment Type
Full-time
Job Functions
* Engineering
 
* Information Technology

"
23,1,"We’re looking for a Data Scientist to help us connect Pinners to actionable content that improves the Pinner experience. You’ll apply quantitative analysis, modeling, and data mining to improve the relevance of Pins across our Ads, Search, and Feeds products.
What You’ll Do
Perform deep dive analysis to understand and optimize the key levers of our ads and search ecosystems
Design core metrics that serve as the North Stars for team efforts and model trade offs across product areas
Apply statistics, modeling, and ML to improve the efficiency of systems and relevance algorithms across Search, Home Feed, and Related Pins
Work with product managers and engineers to design data products and debug A/B experiments
What We’re Looking For
2+ years of work experience applying scientific methods to solve-real-world problems on web scale data
Expertise in at least one scripting language, and proficiency in SQL/Hive
Knowledgeable about the machine learning trade-offs and model evaluation
You can lead initiatives across multiple product areas while communicating findings with leadership and product teams
"
24,0,"Job description
Quizlet drives product development priorities and decision-making through data. Our culture demands timely insights and accurate data about how tens of millions of learners and teachers are using Quizlet in a global context across mobile and web platforms.

Quizlet’s data team includes

Analysts passionate about inquiry, exploration, and understanding;
Data scientists who drive development of data-driven product features like search, classification, and recommendations;
and Data Engineers that scale our data systems up to handle trillions of events.
We're looking for a quantitative Senior Product Analyst to drive inquiry and informed product decisions. Someone who is passionate about analytics and wants help shape the future of analytics team at Quizlet. You will join a successful company with a fast-growing user base already in the tens of millions and help us bring our vision for data and insights to reality. You are scrappy, focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.

You'll drive the maturity and excellence of our quantitative analysis, working with product managers, designers, engineers and data scientists to help ensure accuracy and clarity. You'll serve in a pivotal role, identifying important lines of inquiry on your own as well as driving inquiry on behalf of leaders at the company. In this role, you’ll have visibility and impact across the company.

Responsibilities

Consult with product & engineering teams to design, run and analyze the most useful experiments and ensure data resulting from product launches will be useful and usable
Drive data integrity, help engineering prioritize updates to the data pipeline and tooling
Explore data to find actionable insights and make product recommendations through funnels, cohort analyses, long-term trends, user segmentation, regression models, and more.
Apply your expertise in quantitative analysis, data mining, and the presentation of data to help the team see beyond the numbers and understand how our users interact with our core/business products.
Monitor key performance metrics, and understand root causes of change.
Help product & engineering teams choose the most important top-level metrics for their mission and goals, and through your exceptional analytical skills help them gain deeper insights into user / product interaction
Help drive and promote the overall data-driven culture at Quizlet
Requirements

Demonstrated persistence in getting to the root of unexpected or unexplained changes in product metrics
Demonstrated experience synthesizing business and product priorities, product and monetization features, opportunities and constraints into a cohesive set of key metrics and roadmap for improving data systems
High degree of demonstrated initiative and ownership
Fluency in SQL, as well as a deep understanding of statistical analysis, experiment design, and common pitfalls of data analysis
Some development experience in at least one scripting language (PHP, Python, Perl, R, etc.)
Strong communicator: You effectively synthesize, visualize, and communicate your ideas to others
You can quickly establish credibility with teams and effectively lead through influence
Degree in Math, Physics, Statistics, Economics, Computer Science, or other quantitative fields
2+ years of experience doing quantitative analysis, reporting and analytical problem solving for a consumer technology company
Seniority Level
Mid-Senior level

Industry
E-Learning Computer Software Internet
Employment Type
Full-time

Job Functions
Engineering Information Technology
"
25,0,"At Realtor.com, data and analytics are at the core of our business and growth strategy. We collect and process terabytes of data every day, transforming that data into information that powers decisions for millions of real estate offices and consumers across the country. We combine real estate property data with active listing data and track consumer behavior on our sites. 

We are looking for a talented, experienced and creative data analyst, passionate about discovering and presenting insights from our data to drive great experiences for millions of users who visit Realtor.com for everything related to home. The successful candidate will have a strong understanding of Internet business models, expertise in storyboarding, using visualization tools, statistical analysis, and data modeling to provide actionable business insights. 

The successful candidate will be highly motivated, energetic, proactive in identifying opportunities to improve traffic, conversion and consumer experience, a creative problem solver and a strong bias for generating and disseminating business insights. 

Duties and Responsibilities:
Partner with data, product, engineering & finance teams to identify critical business problems and areas of opportunity
Leverage clickstream leads and marketing data to develop hypothesis based analyses in support of key growth initiatives
Develop and operationalize analysis framework that forms a standard reference for ongoing business performance measurement
Lead the cadence of presenting business insights to senior management
Translate insights into AB testing ideas that drive step-function improvements in conversion and consumer engagement KPIs
Lead strategic analyses to understand consumer behavior, develop AB testing ideas and drive product & experience changes
Work with senior leaders and analytics team members to understand key business problems, define KPIs to track performance and offer recommendations to optimize business performance
Education, Skills, and Experience:
Bachelor's degree in Business Administration/Management, Statistics, Economics, Finance, Mathematics, Computer Science or Engineering
7+ years experience working in highly analytical environment performing complex data and statistical analyses and generating data-driven insights
3+ years developing and presenting insights decks to senior management, leading to data-led business action
Experience working with internal technical teams responsible for site instrumentation, data engineering, data science & analytics
Proficient in Excel (functions, pivots, visualization) and PowerPoint (story-telling, presenting analytical findings)
Strong SQL skills and experience with one or more BI/analytics tools like PowerBI, Tableau, Microstrategy, Business Objects, etc. is required
Experience using one of Omniture/Adobe Analytics, Google Analytics, Webtrends, etc. is required
Experience querying Clickstream data is required
Strong analytical skills, problem solver, and attention to detail
Excellent verbal/written communication, data visualization and presentation skills
Motivated self-starter, revels in a dynamic fast changing environment and brings a can-do attitude
Results driven and ability to coordinate and prioritize multiple tasks in a fast-paced, dynamic environment
Highly desirable - Experience with mathematical modeling tools like R (linear, nonlinear, regression, decision trees)
"
26,1,"Roblox, Data Scientist, San Mateo, CA 

WHY ROBLOX? 

Robloxs Imagination Platform is ushering in the next generation of entertainment, enabling kids of all ages to imagine, create, and play together in immersive 3D worlds. Powered by a global community of millions of developers and creators, Roblox allows anyone to build, publish, and monetize any experience imaginable. 

comScore ranks Roblox as one of the top online entertainment platforms for audiences under the age of 18 based on average monthly visits and time spent. In addition, Roblox has been named one of Americas Fastest-Growing Private Companies on the Inc. 5000 for the past two consecutive years. 

Work with the most passionate, team-oriented, visionary, crazy-smart people youll ever meet. As a Data Scientist, you will be a key participant in helping our product and engineering teams shape the future of Roblox. Youll partner with leaders across the company to better understand our players and builders, performing ad hoc analysis, creating dashboards, defining KPIs, and applying models. 

You Are:
Passionate about data: Continuously learning new techniques and tools to extract value from data. You have a degree in Statistics, Economics, Computer Science or other relevant field.
A strong communicator: You understand that analysts must be able to present their findings in meaningful ways and engage in spirited discussions about the findings.
A capable statistician: You understand the value of characterizing data by its distribution. Covariance, Bias, and Conditional Probability are concepts that you rely on every day.
A expert with SQL: Querying an RDBMS is like breathing for you
Strongly motivated to become proficient in the state-of-the-art tool set for accessing and crunching massive volumes of data, for instance, Spark, Flink, and Drill.
Experienced in developing models to draw insights from data. You will use regression techniques, data mining, and statistical techniques to create new, scalable solutions to solve difficult business problems.
Uncomfortable with high-level commercial tools tools that limit your access to data and that constraint what you can do with it. You prefer the low-level open-source stack of the expert--eg, R over SAS, Excel, or Tableau.
Relentlessly curious.
You Will:
Accelerate product development through your understanding of the underlying data and your ability to partner with product and technical leaders to provide insights that drive growth.
Access raw data, and then transform it, analyze it, and render it in a compelling way--all using a custom analytics tool kit built from state-of-the-art open-source libraries.
Encode your work in dynamic dashboards and publish them to your internal customers.
Influence how Roblox interacts with its players and its platform developers
Acquire new skills and refine the ones you have in twice-weekly Team workshops
You'll Love:
Excellent medical, dental, and vision coverage
A rewarding 401k program
Flexible vacation policy
Free catered lunches five times a week and several fully stocked kitchens with unlimited snacks
Onsite fitness center and fitness program credit
Annual CalTrain Go Pass
A super-cool Roblox Admin badge for your avatar
Rock star status with our community
Roblox Powering Imagination. 
"
27,1,"ShareThis is a big data company that owns online behavior data of 1b+ users globally. We are developing an audience intelligence platform with cutting edge data science technologies. We are looking for innovative data scientists to join our exciting projects.

Your will drive the development of model building pipeline, feature generation, feature selection and model tuning. You will provide the vision of data science, and guide junior data scientists and engineers.
What You'll Need
PhD in a field related to data science, machine learning, or artificial intelligence
5+ years of experience in applying machine learning algorithms
Deep understanding of machine learning algorithms, such as deep learning, GBM, SVM, etc
Extensive experience in feature generation, feature selection, and model tuning
Familiar with machine learning packages such as sci-kit learn
Fluent in Python
Nice to Have
Programming experience in Scala or Java
Experience with Spark, Spark ML, and PySpark
Experience with TensorFlow on Spark or H20 on Spark
"
28,1,"With power chain management from creation to consumption, and over half a dozen manufacturing hubs here in the U.S., Siemens Energy Management provides technologies for the economic, reliable, and intelligent transmission and distribution of electrical power. From smart grid and energy automation technology, to power supply for industrial plants and high-voltage transmission systems, Siemens is providing intelligent technologies to a diverse clientele.
For more information, please visit: http://www.siemens.com/businesses/us/en/energy-management.htm
Job Description
Position Description:
The data scientist will support the growing analytical needs of the company as customer data collection efforts expand. The primary duties of the position will involve performing statistical analysis, predictive modeling and implementing algorithms to enhance our anomaly detection, customer segmentation and advanced data exploration. These activities are conducted in support of furthering the development of the company’s products and technology.
Responsibilities
The Data Scientist’s duties will include, but not be limited to:
  A research project tailored to their strengths, spanning the domains of machine learning, graph analytics, process automation etc.
  Assist the team with the analysis, design, development, testing, and documentation of predictive models, tools, visualizations and algorithms.
  Building statistical models: after participating in the model design, the data scientist will work with analytics team in the preparation of data, development of candidate models, evaluation and selection of final models.
  Completing written documentation and reports of results. This will take the form of business reports, internal technology summaries and statistical analysis.
  Delivery and presentation of accurate and actionable business and technical analyses to support sales, customer retention, and technology improvement efforts.
Qualification
  Prefer candidates working towards Master’s degree in Computer Science, Statistics, Mathematics, or a related technical field. Consideration will be given to exceptional Bachelor level candidates as well.
  Prior statistical modeling and/or machine learning experience are required.
  Experience with large data sets, data mining, clustering, forecasting, deep learning and distributed algorithms is highly desirable.
  Strong coding and scripting skills are required. Background in model building in software packages such as R or Python is required.
  Must have exceptional communication skills, both written and oral, in order to explain technical concepts and analysis implications clearly to a wide audience and to translate business objectives into actionable analyses.
  Must be able to understand and creatively solve problems that span statistics, technology, and business.
  Ability to work independently with minimal supervision;
All applicants must submit the following documents with their completed application:
  Resume
  Transcript
  A six sentence personal statement describing qualifications and reason for interest in the job.
Why Siemens?
Competitive compensation.
Excellent health, vision, and dental plans with many options from which to choose.
All employees receive Life Insurance, Short, and Long Term Disability coverage.
401k match dollar for dollar up to 6% of gross salary.
Education reimbursement programs available.
Extensive product training and professional career development.
"
29,1,"About Strava

Strava is Swedish for “strive,” which epitomizes our attitude and ambition: We’re a passionate and committed team, unified by our mission to build the most engaged community of athletes in the world. Every day, we’re searching for new ways to inspire athletes and make the sports they love even more fun. But it’s not only about achieving – we’re an inclusive team, dedicated to elevating each other and the members of our community. That balanced approach has helped us revolutionize our industry, and we’re just getting started. Millions of athletes are on Strava, millions more will come. When you’re ready for a challenge and a team that will support you along the way, join us.

About this role

Strava is looking for an Data Scientist to help establish our Data Science practice and develop insights and products that improve the experience of athletes on our platform. You will work on a variety of projects across product teams, including recommendations, segmentation, and statistical modeling. The successful candidate will have a passion for data, finding the best algorithm for the job, and making an impact on the business.

Responsibilities

Work with product and engineering teams to define, scope, and implement projects in production
Apply machine learning and other relevant techniques to business problems
Build models from the ground up, from data exploration through feature generation, to model construction and optimization
Design and evaluate A/B tests to quantify impact
Partner with Data Engineering and Platform teams to identify and build tools for Data Science
Requirements

Bachelor’s Degree in Statistics, Machine Learning, Computer Science, Mathematics, Economics or other quantitative field; advanced degree a plus
2 years of hands-on experience as a Data Scientist, Machine Learning engineer, or similar position
Ability to translate business needs into models and data products, and communicate results to product and leadership teams
Development experience with Python or other scripting language
Proficient with SQL
Experience with geographic data a plus
Backed by Sequoia Capital, Madrone Partners and Jackson Square Ventures, Strava is expanding in order to exceed the needs of our growing community of global athletes. By joining our team, you will help push Strava forward in fresh, innovative ways. You will engage in interesting and challenging work that will improve the lives of our athletes every day. And in the same way that Strava is deeply committed to unlocking the potential of our athletes, we are dedicated to providing a world-class workplace where our employees can grow and thrive. Join us!

Strava is an equal opportunity employer.  In keeping with the values of Strava, we make all employment decisions including hiring, evaluation, termination, promotional and training opportunities, without regard to race, religion, color, sex, age, national origin, ancestry, sexual orientation, physical handicap, mental disability, medical condition, disability, pregnancy or pregnancy-related condition, marital status, height and or weight."
30,0,"San Francisco, CA
About Strava

Strava is Swedish for “strive,” which epitomizes our attitude and ambition: We’re a passionate and committed team, unified by our mission to build the most engaged community of athletes in the world. Every day, we’re searching for new ways to inspire athletes and make the sports they love even more fun. But it’s not only about achieving – we’re an inclusive team, dedicated to elevating each other and the members of our community. That balanced approach has helped us revolutionize our industry, and we’re just getting started. Millions of athletes are on Strava, millions more will come. When you’re ready for a challenge and a team that will support you along the way, join us.

About this role

Strava exists to serve athletes and our goal is to build the world's most engaged community of athletes.  We are looking to hire a Marketing Analyst who is passionate about telling the Strava story with data, both to our athlete community and the world at large. This position partners with the Marketing team, which has global responsibility for driving brand awareness, user acquisition, and engaging our user base. The ideal candidate will be curious, collaborative, have strong initiative and a nose for uncovering interesting insights.   

Day to day, the Sr. Marketing Analyst will be an important member of both the Marketing and Analytics teams, providing team members with information on the business, assessing market opportunity, and impact of all marketing initiatives, while working to help drive longer term strategy with a data oriented mindset.

Responsibilities

Use data to tell the Strava story, and develop insights about trends in athletics and health & wellness
Analyze marketing initiatives, identify areas of opportunity, and proactively engage in setting strategy
Help launch, optimize, and measure the impact of brand awareness, user acquisition, and user engagement projects
Design experiments and measure outcomes
Work on multi-touch attribution models leveraging all marketing channels, including social, PR, email, paid, and in-app messaging
Champion data-driven decision-making and Analytics best practices within Marketing
Own requirements and data quality for marketing launches and related engineering development processes
Develop key metrics and dashboards that help the team manage their objectives
Requirements

BS/MS in Statistics, Economics, Math, Physics, or similar quantitative field, or equivalent experience
4+ years of relevant experience
Strong SQL skills
Experience measuring the impact of brand campaigns across social, blogs, video, email and other channels
Ability to process and analyze complex data sets, and interpret them to make business decisions
Strong communication skills, attention to detail, and ability to manage a project or product
Experience with subscription businesses, growth efforts, and/or social ad tech is a plus
Prior experience in consumer Marketing Analytics preferred
Backed by Sequoia Capital, Madrone Partners and Jackson Square Ventures, Strava is expanding in order to exceed the needs of our growing community of global athletes. By joining our team, you will help push Strava forward in fresh, innovative ways. You will engage in interesting and challenging work that will improve the lives of our athletes every day. And in the same way that Strava is deeply committed to unlocking the potential of our athletes, we are dedicated to providing a world-class workplace where our employees can grow and thrive. Join us!"
31,0,"Description
LCI is an industry leader at analytical and technological services to the financial industry. Founded over 25 years ago, we handle over 1.3 billion accounts a year for the world's leading lenders, servicers, and debt buyers. We specialize in solutions for bankruptcy, at-risk consumer behavior, and the financial account life cycle. Our unique high-tech approach allows us to build software and services that are more cost-effective, and provide higher returns, than others in our industry.
Lifestyle At LCI
LCI has an innovative, entrepreneurial structure, with great opportunities as a rapidly growing company.
About The Job
You will be leading and executing high impact project. You will be working with the largest bankruptcy database nationwide and present findings to senior management.
You will join the Data Quality Assurance team and ensure the success of the company by assisting in the delivery of our products and services to our clients, through the operational processing of various systems.
You may be working closely with project leaders, clients, and other business stakeholders. You may manage/participate in multiple projects requiring coordination with other teams.
What we're looking for:
0 to 2 years of data analysis experience, preferably leveraging MS SQL Server
Entry-level knowledge of MS SQL Server (SSMS, SSIS, and SSRS), SQL/Transact-SQL, and data analysis.
Advanced Excel and PowerPoint: VBA would be a plus.
Experience in manipulating data, extracting desired information and experience in presenting data to senior management
Self-motivated and able to manage multiple projects simultaneously
Strong organization skills, attention to details and ability to multi-task
Strong analytical and problem solving skills
Strong written and verbal communication
Creative and out of the box thinking
Knowledge of legal Documents would be a plus
Full Time Position
Monday to Friday (9:00 am - 5:00 pm)
0-2 years of data analysis experience, preferably leveraging MS SQL Server
Entry-level knowledge of MS SQL Server (SSMS, SSIS, and SSRS), SQL/Transact-SQL, and data analysis.
Advanced Excel and PowerPoint: VBA would be a plus.
Experience in manipulating data, extracting desired information and experience in presenting data to senior management
Self-motivated and able to manage multiple projects simultaneously
Strong organization skills, attention to details and ability to multi-task
Strong analytical and problem solving skills
Strong written and verbal communication
Creative and out of the box thinking
Knowledge of legal Documents would be a plus
Requirements
Expertise
Data Operations
Education
Bachelors (or equivalent work experience)
Job Type
Full Time
Location
CA-San Francisco
Years of Experience
0-1 Year
All members of the Verisk Analytics Family of Companies are equal opportunity employers. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other legally protected classification.
"
32,1,"Job description
Position Description
A Data Scientist is responsible for analyzing large data sets to develop custom models and algorithms to drive business solutions. Data Scientists work on project teams in order to provide analytical support to projects (for example, email targeting, business optimization, consumer recommendations) for Walmart eCommerce. Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics. Those algorithms will be tested, validated, and applied to large data sets. Data Scientists are responsible for training the algorithms so they can be applied to future data sets and provide the appropriate search results. Data Scientists are responsible for researching new trends in the industry and utilizing up-to-date technology (for example, HBase, MapReduce, LAPack, Gurobi) and analytical skills to support their assigned project.
Build complex data sets from multiple data sources, both internally and externally.
Build learning systems to analyze and filter continuous data flows and offline data analysis.
Combine data features to determine search models.
Conduct advanced statistical analysis to determine trends and significant data relationships.
Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans
Develop custom data models to drive innovative business solutions.
Develop models of current state in order to determine needed improvements.
Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity
Provides and supports the implementation of business solutions
Research new techniques and best practices within the industry.
Scale new algorithms to large data sets.
Train algorithms to apply models to new data sets.
Utilize system tools including (MySQL, Hadoop, Weka, R, Matlab,ILog).
Validate models and algorithmic techniques.
Work with cross-functional partners across the business
Position Summary
As an algorithm engineer, you will work on code that improves our operations and experiences for customers. You will marry state-of-art optimization algorithms with distributed systems engineering to build systems that drive efficiencies in our logistics and supply-chain.
Minimum Qualifications
Masters with 5 years experience or Ph.D. degree in Operations Research, Computer Science, or Machine Learning.
Deep knowledge of computational complexity theory, capable to code time and space efficient algorithms with good scalability.
Ability to understand and mathematically model practical problems within eCommerce and/or supply chain domains.
Proficient with at least one of the object-oriented languages: Python, Java, C++.
Preferred Qualifications
Solid knowledge in state-of-art algorithms/meta-heuristics (such as Simulated Annealing, Ant Colony Optimization, and Tabu Search) used to solve high complexity combinatorial optimization problems (such as VRP and VRPTW).
Experience with building Operations Research/Machine Learning algorithms and productionizing them at scale in a distributed computation environment.
Ability to independently conduct literature survey, find cutting edge heuristics or algorithms, and implement them in an engineering environment.
Publication in peer-reviewed journals is a plus.
Minimum Qualifications
Bachelor's Degree in Computer Science or related field and 5 years experience building scalable ecommerce applications or mobile software
"
33,0,"WhatsApp is a fast, simple and reliable way to talk to anyone in the world. More than 1 billion people in over 180 countries use WhatsApp to stay in touch with friends and family, anytime and anywhere. WhatsApp is not only free but also available on multiple mobile devices and in low connectivity areas — making it accessible and reliable wherever you are. It's a simple and secure way to share your favorite moments, send important information or catch up with a friend. WhatsApp helps people connect and share no matter where they are in the world.
Responsibilities
Build/maintain reports, dashboards, and metrics that equips the CO organization to scale successfully
Engage in discussions to identify problems, quantify and improve the quality of workflows through data analyzes
Run SQL queries, provide reports or updates
Build data expertise and own data quality for allocated areas of ownership
Create pipelines and queries in our data warehouse to analyze large sets of internal data
Mentor others as needed on best practices for design and implementation of cutting-edge analytics solutions
Leverage data to understand our products in depth, identify areas of opportunity, and support projects to drive growth and engagement
Minimum Qualification
BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field
2+ years experience in using SQL
2+ year(s) experience building data reporting
Demonstrated ability to analyze data to identify deliverables, gaps and inconsistencies
Demonstrated ability to identify and communicate data driven insights
Demonstrated ability to prioritize among conflicting demands
Preferred Qualification
Experience using languages and packages such as R, MATLAB, SPSS, SAS, Stata, etc.
Experience with at least one scripting language (PHP, Python, Perl, etc.)
Experience with large data sets and distributed computing (Hive/Hadoop)
Experience using Tableau

"
